id,title,Rating,maincateg,platform,price1,actprice1,Offer %,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1
16695,Fashionable & Comfortable Bellies For Women  (Brown),3.9,Women,Flipkart,698,999,30.13%,38,7,17,9,6,3,3,0
5120,Combo Pack of 4 Casual Shoes Sneakers For Men  (Multicolor),3.8,Men,Flipkart,999,1999,50.03%,531,69,264,92,73,29,73,1
18391,Cilia Mode Leo Sneakers For Women  (White),4.4,Women,Flipkart,2749,4999,45.01%,17,4,11,3,2,1,0,1
495,Men Black Sports Sandal,4.2,Men,Flipkart,518,724,15.85%,46413,6229,1045,12416,5352,701,4595,1
16408,Men Green Sports Sandal,3.9,Men,Flipkart,1379,2299,40.02%,77,3,35,21,7,7,7,1
2692,Women Pink Flats Sandal,4.1,Women,Flipkart,359,499,28.06%,274,25,153,49,34,15,23,0
3236,Women Navy Heels Sandal,4,Women,Flipkart,499,999,50.05%,249,31,130,52,27,9,28,1
14633,Women Blue Wedges Sandal,3.9,Women,Flipkart,209,1299,83.91%,121,17,63,25,14,9,12,0
1872,Sneakers For Women  (Pink),4.2,Women,Flipkart,549,999,45.05%,191,30,120,25,31,7,12,1
1668,"Men Black, Beige Sandal",4.1,Men,Flipkart,809,899,10.01%,36126,5028,18688,9899,3709,1272,2558,0
12634,TEMPO Men's Combo Pack of 3 Synthetic Loafers & 2 Sneakers - Multicolour,3.3,Men,Amazon,999,999,0.00%,222,147,26,4,18,15,37,1
19065,Women Gold Heels Sandal,4,Women,Flipkart,599,1299,53.89%,22,3,12,3,4,1,2,1
17455,Flip Flops,4.1,Women,Flipkart,299,599,50.08%,41,9,19,13,5,3,1,1
7526,Slippers,4.4,Women,Flipkart,599,1199,50.04%,101,16,68,20,5,5,3,1
15555,adilette CF+ logo Slides,4.5,Men,Flipkart,1979,3599,45.01%,141,12,98,25,8,4,6,1
18031,"Men Black, Blue Sports Sandal",4.2,Men,Flipkart,999,1999,50.03%,732,99,378,230,70,24,30,1
9354,Men Tan Sandal,4,Men,Flipkart,379,999,62.06%,138,24,68,30,16,14,10,0
17732,Perfect Stylish Girls High Ankle Boots For Women  (Pink),4.2,Women,Flipkart,399,999,60.06%,9305,1619,5660,1711,921,319,694,1
4549,Perfect Stylish Girls Casual Shoes Sneakers For Women  (White),3.9,Women,Flipkart,399,999,60.06%,1353,202,698,258,174,77,146,0
12336,Women Beige Heels Sandal,4,,Flipkart,499,999,50.05%,,,28,9,10,2,5,0
2917,170 Smart Grey Lace-Ups Casuals for Men Sneakers For Men  (Grey),4,Men,Flipkart,236,499,52.71%,26934,2952,14756,4291,3068,1693,3126,1
7379,Women Multicolor Flats Sandal,3.6,Women,Flipkart,175,499,64.93%,569,63,249,97,74,49,100,1
10536,Stylish Flat Mules for women Bellies For Women  (Tan),4,Women,Flipkart,225,699,67.81%,2270,318,1117,536,305,130,182,1
18886,crocs Unisex's Clogs,4.7,Women,Amazon,1596,1607,0.68%,8,4,0,0,0,30,70,0
2193,GO WALK JOY-CENTERPIECE Walking Shoes For Women  (Navy),4.4,Women,Flipkart,3009,4299,30.01%,215,14,142,43,15,3,12,1
15609,flip-flops slipper for men Flip Flops,4,Men,Flipkart,199,599,66.78%,3615,299,2155,441,352,206,461,1
17976,Flip Flops,4.1,Women,Flipkart,249,399,37.59%,33,6,17,9,2,4,1,0
19308,Boots For Women  (Brown),4.2,Women,Flipkart,599,999,40.04%,10,0,6,2,1,0,1,1
970,Intraflux M Running Shoes For Men  (Grey),4.1,Men,Flipkart,2165,3880,45.01%,216,31,176,44,21,8,1,1
13094,Women Black Flats Sandal,4.1,Women,Flipkart,831,1695,50.97%,14,0,7,4,1,1,1,1
17412,Trendy Look Up Jeans And Kurta Pajama/Synthetic Ethnic Shoes For Men Ethnic Mule For Men  (Black),3.8,Men,Flipkart,499,999,50.05%,21,4,13,2,0,0,6,0
10916,Jutis For Women  (Multicolor),4.1,Women,Flipkart,399,999,60.06%,180,23,100,32,22,10,16,0
17709,Fila Men's Bryant Sneakers,3.7,Men,Amazon,564,1597,64.68%,79,40,15,11,10,20,44,1
10946,Jutis For Women  (Pink),3.9,Women,Flipkart,199,499,60.12%,369,46,197,50,54,25,43,0
10528,"Bouncer-01 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight blue shoes for running, walking, gym, trekking, hiking & party Running Shoes Running Shoes For Men  (Blue)",4.1,Men,Flipkart,759,999,24.02%,11780,1748,6343,2501,1268,644,1024,1
14244,Walking Shoes For Men  (Grey),4,Men,Flipkart,782,999,21.72%,3180,475,1596,705,380,162,337,1
10780,Canvas Shoes For Men  (Red),4,Men,Flipkart,658,999,34.13%,1695,266,891,359,204,65,176,0
9992,FASHION SHOE Loafers For Men  (Brown),4.3,Men,Flipkart,400,999,59.96%,18,3,11,5,0,1,1,1
20804,"Men Brown, Orange Sports Sandal",4.1,,Flipkart,819,999,18.02%,26640,3667,14148,,,1113,2094,1
2851,Women Black Heels Sandal,4,Women,Flipkart,468,1499,68.78%,550,103,283,120,72,27,48,0
10752,"Women's/Ladies/Female/Girls Lightweight Comfortable, Casualwear Black High Ankle Length Lace-Up Boots Boots For Women Boots For Women  (Black)",4.4,Women,Flipkart,525,999,47.45%,5,0,3,1,1,0,0,0
4430,Slippers,3.6,Men,Flipkart,219,349,37.25%,16140,1926,6538,2868,2580,1442,2712,0
19439,Women Yellow Flats Sandal,4.5,Women,Flipkart,899,1499,40.03%,69,5,42,21,5,2,0,1
1371,Women Red Heels Sandal,4.2,Women,Flipkart,1599,1699,5.89%,1399,263,884,240,119,36,120,0
14621,Boots For Women  (Black),4.2,Women,Flipkart,429,999,57.06%,366,84,223,67,39,11,26,1
20734,Party Wear For Men  (Tan),3.7,Men,Flipkart,499,799,37.55%,19,1,9,3,2,2,3,0
8442,"Women Girl's Fashion Printed Comfortable Soft Slip On Winter Bellies For Women  (Black, Blue)",4.2,Women,Flipkart,246,559,55.99%,290,48,157,69,35,14,15,1
